gene_family,direction,effect_size,diaz_rate_present,diaz_rate_absent,n_genomes_with_feature,chi2,p_value,importance
GF_00175,Positive,0.43638443935926774,0.6521739130434783,0.21578947368421053,46,38.10156467979523,6.71562562793935e-10,0.11670813539118945
GF_00982,Positive,0.09478069100710612,0.34545454545454546,0.25067385444743934,55,1.7582760881280544,0.1848396863740007,0.0960101482405645
GF_01328,Positive,0.7818126335062557,0.8850574712643678,0.10324483775811209,87,214.3508955522581,1.5440766605270074e-48,0.08973578131533358
GF_01783,Negative,-0.32451499118165783,0.24691358024691357,0.5714285714285714,405,9.23943682568569,0.002368577893096038,0.08969660352709477
GF_00702,Positive,0.1948685460880583,0.43902439024390244,0.24415584415584415,41,6.290136038809725,0.012141173234492387,0.08966021164266194
GF_01426,Positive,0.7802453987730061,0.86,0.07975460122699386,100,236.39473956559786,2.4034636741081324e-53,0.08867410327400238
GF_00684,Negative,-0.06508805330794856,0.20454545454545456,0.2696335078534031,44,0.5593681132224401,0.45451495142125387,0.08204350191484062
GF_02141,Positive,0.665754106520657,0.7755102040816326,0.10975609756097561,98,169.16127199589167,1.1281208886132893e-38,0.08099634511356033
GF_02180,Positive,0.5246478873239436,0.6126760563380281,0.0880281690140845,142,131.76982626251137,1.6801277803663488e-30,0.07610937015888125
GF_01927,Positive,0.07051282051282054,0.32051282051282054,0.25,78,1.2912094888830687,0.25582517687110284,0.07288409890273727
GF_00426,Positive,0.3181741089816587,0.4697986577181208,0.15162454873646208,149,48.983936941868265,2.58067286731435e-12,0.06613468985698945
GF_01386,Positive,0.7975725766770543,0.8901098901098901,0.09253731343283582,91,230.80534097640165,3.978436720281797e-52,0.06599070620057715
GF_02263,Positive,0.45252887742514303,0.518918918918919,0.06639004149377593,185,108.27414698493837,2.3405772497644906e-25,0.0652972507293425
GF_00856,Positive,0.7335082458770614,0.896551724137931,0.16304347826086957,58,135.34725712435954,2.7719178173926676e-31,0.0639770583663723
GF_02071,Positive,0.7471947968241877,0.822429906542056,0.07523510971786834,107,226.99666193138083,2.693635888586445e-51,0.061093097041088375
GF_02145,Positive,0.24936507936507937,0.33666666666666667,0.0873015873015873,300,27.20021086539712,1.8343866659852347e-07,0.05961501299243678
GF_01673,Positive,0.42340751888403316,0.5779816513761468,0.15457413249211358,109,72.86617376242855,1.3874590589023062e-17,0.057717173230512904
GF_00080,Positive,0.7585241413638627,0.8469387755102041,0.08841463414634146,98,220.13007034519876,8.472507648222338e-50,0.056292572614819104
GF_00315,Positive,0.0014163589458242587,0.2641509433962264,0.26273458445040215,53,0.0,1.0,0.05517471830598282
GF_02075,Positive,0.3470646766169154,0.4266666666666667,0.07960199004975124,225,64.20865613923104,1.1191596444165396e-15,0.054836602956654275
GF_01659,Positive,0.7175878308883235,0.8979591836734694,0.18037135278514588,49,111.55254597591143,4.477784364504383e-26,0.05461064728657065
GF_02059,Positive,0.7036862745098039,0.8823529411764706,0.17866666666666667,51,111.11288136273618,5.589563780651543e-26,0.052715337421943724
GF_01834,Positive,0.6832136566860859,0.7520661157024794,0.06885245901639345,121,205.15942769498056,1.5631439542229755e-46,0.05169843114625855
GF_00608,Positive,0.3486169003410382,0.5714285714285714,0.22281167108753316,49,25.42624512623913,4.5962242317885247e-07,0.0504201185119804
GF_01480,Positive,0.6536585365853658,0.8536585365853658,0.2,41,78.35919718029147,8.590844357606726e-19,0.0494884868299638
GF_01462,Positive,0.7242035003298537,0.863013698630137,0.1388101983002833,73,159.99633134862617,1.1335740431476794e-36,0.04877584765947037
GF_00971,Positive,0.21025280138580632,0.4489795918367347,0.23872679045092837,49,8.836764214003988,0.0029522211117603736,0.04873410180976802
GF_02260,Positive,0.03943661971830986,0.29577464788732394,0.2563380281690141,71,0.2931414922656955,0.5882143856895231,0.04641022217650938
GF_00819,Positive,0.1410826210826211,0.28774928774928776,0.14666666666666667,351,5.639982676559109,0.017555380564597444,0.04621190569029892
GF_00957,Positive,0.5164494766075625,0.6290322580645161,0.11258278145695365,124,118.33876046820107,1.4616580196781355e-27,0.044951951442414324
GF_01239,Positive,0.27659411989308896,0.45185185185185184,0.17525773195876287,135,34.992826616824416,3.309222075369883e-09,0.0448263620885409
GF_00931,Negative,-0.5259792166266987,0.2517985611510791,0.7777777777777778,417,10.009262426273722,0.001557548876405694,0.04427318359973449
GF_01332,Positive,0.14212947748931973,0.38235294117647056,0.24022346368715083,68,5.246075859021152,0.021996322791445637,0.04400817938385443
GF_01691,Negative,-0.11551762856501238,0.16393442622950818,0.27945205479452057,61,3.0275763959314625,0.0818602089695321,0.043768193305417605
GF_01337,Positive,0.7506898086337339,0.8285714285714286,0.0778816199376947,105,226.22171990618978,3.975132269192559e-51,0.043339548333347
GF_00661,Positive,0.5853535353535353,0.7575757575757576,0.17222222222222222,66,95.61798012397635,1.3933517886984292e-22,0.043268013421662574
GF_01331,Negative,-0.14306808859721082,0.17391304347826086,0.3169811320754717,161,9.85299412562713,0.001695555721626862,0.0430261623026304
GF_01619,Positive,0.1837797619047619,0.42857142857142855,0.24479166666666666,42,5.684111576930732,0.01711920506654392,0.041096261231101015
GF_00866,Positive,0.16658565039860002,0.3716216216216216,0.20503597122302158,148,12.984414695851957,0.000314094510352419,0.04047739895907171
GF_01799,Positive,0.2660332541567696,0.2660332541567696,0.0,421,0.692897154398622,0.40518069582834504,0.04039913549965962
GF_01425,Positive,0.43468559837728193,0.5588235294117647,0.12413793103448276,136,88.04206931186982,6.407704786700725e-21,0.04022396761762974
GF_01734,Negative,-0.11121846484165326,0.1728395061728395,0.28405797101449276,81,3.6329126061021655,0.056647598422559564,0.0400386075329489
GF_01580,Positive,0.4843244699964067,0.5380434782608695,0.05371900826446281,184,124.03565360092202,8.274340340062571e-29,0.03983946322367365
GF_01232,Negative,-0.09977116704805494,0.17391304347826086,0.2736842105263158,46,1.6243173434399492,0.20249084496324707,0.03959390368670838
GF_00455,Positive,0.515121640960407,0.6631578947368421,0.14803625377643503,95,98.43184158693248,3.364062979998052e-23,0.03894100064600918
GF_00437,Positive,0.7448556511056511,0.8783783783783784,0.13352272727272727,74,171.23487885780756,3.976144889782687e-39,0.038673651614221996
GF_00300,Positive,0.6904325347921488,0.7864077669902912,0.09597523219814241,103,188.56114224418096,6.552525751409949e-43,0.038595101687980526
GF_00828,Negative,-0.019713609375606345,0.2465753424657534,0.26628895184135976,73,0.04090801389654601,0.8397155826301903,0.0382724330369619
GF_01930,Positive,0.4668481431071359,0.5675675675675675,0.10071942446043165,148,106.22677894944576,6.576195971797453e-25,0.0382251766871967
GF_00107,Negative,-0.03702350505419558,0.2318840579710145,0.2689075630252101,69,0.2402696816749407,0.6240114042911619,0.03776298836467777
GF_01584,Positive,0.37425037481259366,0.5862068965517241,0.21195652173913043,58,34.3073293303516,4.706061167457893e-09,0.037482735659570034
GF_01928,Negative,-0.07689296061389081,0.20930232558139536,0.28619528619528617,129,2.3615385102479607,0.12435948787150064,0.03745128039500067
GF_02152,Positive,0.2730078563411896,0.43209876543209874,0.1590909090909091,162,37.216846546389746,1.0569672478926193e-09,0.0373868803940244
GF_00302,Positive,0.5855962219598583,0.7619047619047619,0.1763085399449036,63,91.99827194788007,8.675220250937917e-22,0.03735706796115612
GF_00888,Negative,-0.15196553998991036,0.136986301369863,0.28895184135977336,73,6.445725209127742,0.011121963157706074,0.03689698231087165
GF_00082,Positive,0.019361702127659586,0.28,0.26063829787234044,50,0.014691223767254576,0.9035267958101527,0.03685948018801477
GF_00083,Positive,0.05389326334208222,0.3111111111111111,0.2572178477690289,45,0.3571606793577554,0.5500873656783548,0.036800028971263846
GF_01391,Negative,-0.0197296309828279,0.2463768115942029,0.2661064425770308,69,0.03664965709352138,0.8481800994245674,0.03606708137005406
GF_01550,Positive,0.7962567388871936,0.896551724137931,0.10029498525073746,87,222.41960741976158,2.6829855051167813e-50,0.03579812791926052
GF_01733,Negative,-0.11121846484165326,0.1728395061728395,0.28405797101449276,81,3.6329126061021655,0.056647598422559564,0.035777809908944226
GF_01539,Negative,-0.03974297953355546,0.22727272727272727,0.2670157068062827,44,0.14919995160781818,0.6993010884908866,0.035752682121501955
GF_00622,Positive,0.6647887323943662,0.8169014084507042,0.15211267605633802,71,131.52362374886258,1.9019743922762177e-30,0.03544653454809635
GF_01379,Positive,0.316839378238342,0.55,0.23316062176165803,40,17.175948242661722,3.407230855230933e-05,0.03530537905537928
GF_00081,Positive,0.3761396929567561,0.4968944099378882,0.12075471698113208,161,71.19120005460789,3.2423100457468723e-17,0.03529434931372563
GF_00011,Negative,-0.14467766116941527,0.13793103448275862,0.2826086956521739,58,4.690960912251734,0.030321686050592645,0.03515390893705285
GF_01638,Positive,0.5338481338481339,0.6576576576576577,0.12380952380952381,111,117.96749550310741,1.7625286103706918e-27,0.035035971383132726
GF_01904,Positive,0.3678447944679216,0.39416058394160586,0.02631578947368421,274,66.37801119387382,3.7223143834386356e-16,0.034515503178523615
GF_00402,Positive,0.653225806451613,0.8333333333333334,0.18010752688172044,54,100.48712715065992,1.1916895532395905e-23,0.034462877308809
GF_00044,Positive,0.11232746311280345,0.36363636363636365,0.2513089005235602,44,2.021973743411105,0.1550375058763578,0.03445100870369258
GF_01399,Positive,0.2974294813466788,0.48214285714285715,0.18471337579617833,112,36.16660392296879,1.8114844199907567e-09,0.034444615432163275
GF_00776,Positive,0.12370466321243523,0.375,0.25129533678756477,40,2.259322966268204,0.13281211331269488,0.034328283908408
GF_00406,Positive,0.7725234536492288,0.8631578947368421,0.09063444108761329,95,223.35065105118042,1.680914628881194e-50,0.03415645520787726
GF_02088,Negative,-0.1372275183678426,0.13953488372093023,0.27676240208877284,43,3.0819840310173294,0.07916390221354806,0.033674123112060944
GF_00435,Positive,0.4331201585299945,0.510989010989011,0.0778688524590164,182,98.68869477592304,2.954841567254574e-23,0.03365186845550864
GF_01327,Negative,-0.1138888888888889,0.16666666666666666,0.28055555555555556,66,3.168546237798825,0.07506923837214277,0.03357931311537304
GF_01618,Negative,-0.06709118005690284,0.21487603305785125,0.2819672131147541,121,1.6809152859584997,0.19480287693308646,0.0335570462514007
GF_00363,Positive,0.6904325347921488,0.7864077669902912,0.09597523219814241,103,188.56114224418096,6.552525751409949e-43,0.03353359424513368
GF_00349,Positive,0.382381485628966,0.3894736842105263,0.0070921985815602835,285,69.21419977899076,8.832980294575708e-17,0.03349729152038687
GF_00458,Negative,-0.15081967213114753,0.13333333333333333,0.28415300546448086,60,5.297521708445831,0.021355788709884974,0.03343553236915857
GF_02222,Positive,0.7610521662245799,0.8846153846153846,0.1235632183908046,78,186.53585044533492,1.8134928262366172e-42,0.0332834643717478
GF_02262,Positive,0.07412541494911176,0.276657060518732,0.20253164556962025,347,1.4620787342714836,0.22659966182239366,0.033180148633933725
GF_00736,Positive,0.7007802462946136,0.8041237113402062,0.1033434650455927,97,186.24343385331883,2.1006340825759905e-42,0.03281821493008411
GF_00595,Negative,-0.0750079189103579,0.1951219512195122,0.2701298701298701,41,0.723528765171666,0.3949888439686303,0.032244324887827656
GF_00536,Positive,0.3648392660239193,0.5309734513274337,0.16613418530351437,113,55.16083548775035,1.1105973875921154e-13,0.032115218144095355
GF_01592,Negative,-0.06930808335597038,0.2054794520547945,0.2747875354107649,73,1.1631127275682451,0.2808209223397516,0.03198542234251652
GF_00344,Positive,0.3047838310495207,0.4052863436123348,0.10050251256281408,227,49.269940588781246,2.2305438706233217e-12,0.03194546593157321
GF_01234,Positive,0.12060868895788959,0.3458646616541353,0.22525597269624573,133,6.258277351522106,0.012361434567985925,0.03187036370951248
GF_01512,Positive,0.03259685974217569,0.2891566265060241,0.2565597667638484,83,0.21752130472137504,0.6409350847916843,0.03186438250616563
GF_00682,Negative,-0.18734643734643736,0.10810810810810811,0.29545454545454547,74,10.12892013779628,0.001459608948152105,0.0318516231959879
GF_01583,Positive,0.471830985915493,0.5774647887323944,0.1056338028169014,142,106.3319281733394,6.236356155364358e-25,0.03184966219653902
GF_01476,Negative,-0.17291713451605656,0.11475409836065574,0.2876712328767123,61,7.196574588968556,0.007304287093998325,0.031421603709696176
GF_01537,Positive,0.7252895752895754,0.8928571428571429,0.16756756756756758,56,128.31442700245663,9.579822185021848e-30,0.031232714973208883
GF_02069,Positive,0.5769850402761796,0.6909090909090909,0.11392405063291139,110,137.21349463557988,1.082930193213295e-31,0.03096436951893525
GF_01054,Positive,0.09687647574714969,0.3045267489711934,0.20765027322404372,243,4.56785571334099,0.03257731805195496,0.0309010630741653
GF_00611,Positive,0.3143763907635063,0.5189873417721519,0.20461095100864554,79,31.216254862724448,2.308251818258799e-08,0.03074489505226145
GF_00012,Negative,-0.12898321191004117,0.14634146341463414,0.2753246753246753,41,2.5502965268048254,0.11027355699351918,0.029663953052357372
GF_01456,Positive,0.24126283552513061,0.4010989010989011,0.1598360655737705,182,30.07890562006181,4.148189813962557e-08,0.029617135135166915
GF_00603,Positive,0.5033553230209281,0.6339285714285714,0.1305732484076433,112,105.3523465194313,1.0223928490421288e-24,0.029556184244928226
GF_00796,Positive,0.49067735543145374,0.5439560439560439,0.05327868852459016,182,126.99389313798848,1.863460402701588e-29,0.029485202202598374
GF_00477,Positive,0.6044811320754716,0.7169811320754716,0.1125,106,147.03237977418632,7.720631967916212e-34,0.029146129901929073
GF_00330,Positive,0.4933761819989365,0.562874251497006,0.0694980694980695,167,125.00326532363584,5.08110102804229e-29,0.02896203971216675
GF_02142,Positive,0.045388954479863575,0.30158730158730157,0.256198347107438,63,0.3605144287014171,0.5482206737144726,0.028929350898204337
GF_00523,Positive,0.14084507042253522,0.38028169014084506,0.23943661971830985,71,5.351649226569606,0.02070267940667577,0.028822985163288902
GF_01027,Positive,0.7767045454545455,0.8645833333333334,0.08787878787878788,96,227.51350809943443,2.0778661391272637e-51,0.02864012422729215
GF_01248,Positive,0.4918440494477361,0.5850340136054422,0.0931899641577061,147,117.65704769462454,2.0611611176638434e-27,0.028550485858815592
GF_02264,Positive,0.3378191934498903,0.4048582995951417,0.0670391061452514,247,59.38880248995026,1.2940330769110239e-14,0.028499577049287652
GF_00326,Positive,0.3662320091441368,0.40304182509505704,0.03680981595092025,263,67.7724478671835,1.8349577178091877e-16,0.0284708415378884
GF_00235,Positive,0.7453580901856764,0.8717948717948718,0.12643678160919541,78,178.84336837216978,8.668906722838691e-41,0.02835198142567903
GF_00396,Positive,0.35866737273501714,0.47928994082840237,0.12062256809338522,169,65.84263905230122,4.884010244483299e-16,0.02821784965198045
GF_01543,Positive,0.7807790930485792,0.891566265060241,0.11078717201166181,83,206.2182492807575,9.182725344581792e-47,0.028215913784588077
GF_01630,Negative,-0.1896174863387978,0.1,0.2896174863387978,60,8.610802970099495,0.0033417494466905164,0.028123594952432926
GF_00348,Negative,-0.12003499562554681,0.15555555555555556,0.2755905511811024,45,2.4050116247411752,0.12094722586057131,0.028069003935743273
GF_00723,Positive,0.5519079685746353,0.6049382716049383,0.05303030303030303,162,154.96747785952107,1.4233144914185622e-35,0.027974517523950228
GF_00440,Negative,-0.015027322404371601,0.25,0.2650273224043716,60,0.0075509451587881865,0.9307540402528196,0.027812788664505497
GF_02261,Positive,0.7159910796274432,0.873015873015873,0.15702479338842976,63,138.34109675480448,6.137513890576985e-32,0.02776256004380648
GF_00618,Positive,0.36838491118842703,0.48255813953488375,0.1141732283464567,172,69.92870027488533,6.148727682500232e-17,0.027589054042064142
GF_02130,Positive,0.4448986846782794,0.46551724137931033,0.020618556701030927,232,105.62944781533326,8.889676515364133e-25,0.027447261458673426
GF_00604,Positive,0.6726579520697168,0.7745098039215687,0.10185185185185185,102,177.67774398108503,1.5576893612464957e-40,0.027379419956709273
GF_00594,Positive,0.017973161697735107,0.27906976744186046,0.26109660574412535,43,0.005066999758169157,0.9432522214276167,0.027166476329865824
GF_00141,Positive,0.013176470588235345,0.27450980392156865,0.2613333333333333,51,0.0009633624150296998,0.9752391707800203,0.0271615461829866
GF_00393,Positive,0.4163568773234201,0.4163568773234201,0.0,269,86.54851816395447,1.3635079878417025e-20,0.026994095410286183
GF_00857,Positive,0.4418681976370447,0.4672489082969432,0.025380710659898477,229,104.42827064333468,1.6298834206275008e-24,0.026986265196554948
GF_01481,Negative,-0.15959821428571427,0.11904761904761904,0.2786458333333333,42,4.186714897319399,0.040741973650855884,0.026873985988167773
GF_01807,Positive,0.6678291194420226,0.7849462365591398,0.11711711711711711,93,163.88077092950476,1.6062310105900026e-37,0.026853220223509323
GF_00343,Positive,0.4357976653696498,0.4357976653696498,0.0,257,97.68362400717517,4.9086518875725493e-23,0.026744086866850373
GF_00317,Negative,-0.0022883295194507935,0.2608695652173913,0.2631578947368421,46,0.0,1.0,0.02656464226554748
GF_02226,Positive,0.32464970408214877,0.5471698113207547,0.2225201072386059,53,23.59178483331892,1.190948872211791e-06,0.026554286254851574
GF_02143,Positive,0.5919221698113207,0.7075471698113207,0.115625,106,140.92343597933424,1.672184577867215e-32,0.026497260794989215
GF_00077,Negative,-0.035424710424710404,0.23214285714285715,0.26756756756756755,56,0.15868929249914812,0.6903661310050732,0.02636509475684743
GF_00605,Positive,0.7329043443470142,0.8426966292134831,0.10979228486646884,89,191.38988415806273,1.5810842898529227e-43,0.0263614255441948
GF_01678,Negative,-0.03557474044580064,0.23376623376623376,0.2693409742120344,77,0.2488418398752027,0.6178917566965862,0.026277581480957952
GF_01805,Negative,-0.019968620738838982,0.24561403508771928,0.26558265582655827,57,0.024677513458961936,0.8751733031130355,0.026197922943138222
GF_00434,Positive,0.07201086956521738,0.3115942028985507,0.23958333333333334,138,2.1387216747809275,0.14362152497410977,0.026184496795903428
GF_00811,Positive,0.25029868578255676,0.48148148148148145,0.23118279569892472,54,13.98034251262144,0.00018473196089374098,0.02608030063330719
GF_02110,Positive,0.7141608391608392,0.8295454545454546,0.11538461538461539,88,180.094229656077,4.62217292897789e-41,0.026076303755358514
GF_00530,Negative,-0.1465411379451494,0.14285714285714285,0.28939828080229224,77,6.254582572232472,0.01238724342993749,0.026069550384772964
GF_01394,Positive,0.5114734299516909,0.6086956521739131,0.09722222222222222,138,123.31912313905676,1.1873109726346271e-28,0.025861505075179
GF_00681,Negative,-0.025957446808510642,0.24,0.26595744680851063,50,0.0487269767728883,0.8252934216177441,0.025811840209709575
GF_00959,Negative,-0.1465411379451494,0.14285714285714285,0.28939828080229224,77,6.254582572232472,0.01238724342993749,0.025800260423124444
GF_00525,Negative,-0.035424710424710404,0.23214285714285715,0.26756756756756755,56,0.15868929249914812,0.6903661310050732,0.025714158149579173
GF_01504,Positive,0.7132936507936508,0.8958333333333334,0.18253968253968253,48,108.17264875197694,2.4635597131811013e-25,0.025691505212159477
GF_01553,Negative,-0.09615528182157518,0.19858156028368795,0.29473684210526313,141,4.018108147282419,0.04501418071299214,0.02553829130087501
GF_00528,Negative,-0.035424710424710404,0.23214285714285715,0.26756756756756755,56,0.15868929249914812,0.6903661310050732,0.02550614627460417
GF_00311,Positive,0.34178321678321677,0.5340909090909091,0.19230769230769232,88,40.34322051394526,2.1304342218521646e-10,0.02543434415887781
GF_00430,Positive,0.20877992257656755,0.4094488188976378,0.20066889632107024,127,18.987110587255298,1.3160447213312612e-05,0.025341715458989666
GF_01620,Positive,0.5259856630824373,0.7222222222222222,0.19623655913978494,54,64.63349738459694,9.020866462793407e-16,0.025302988989929758
GF_00524,Positive,0.5319425696404467,0.6137931034482759,0.08185053380782918,145,136.92650255266142,1.2513196147785026e-31,0.025283507945733877
GF_00394,Positive,0.6588463492356718,0.8305084745762712,0.17166212534059946,59,110.47956230188647,7.693450755641979e-26,0.0252306981450558
GF_01737,Negative,-0.1817788123206842,0.10204081632653061,0.2838196286472148,49,6.485833531755542,0.010873753871986264,0.025219626522930094
GF_02216,Positive,0.29848484848484846,0.5151515151515151,0.21666666666666667,66,24.124932725514928,9.028375727419295e-07,0.025115780143573574
GF_00771,Positive,0.4855769230769231,0.5,0.014423076923076924,218,127.01478628588421,1.8439455753791148e-29,0.025085267833739225
GF_00401,Positive,0.04944586530264283,0.30434782608695654,0.2549019607843137,69,0.4966800829996913,0.480962508411077,0.025037016642024398
GF_00180,Negative,-0.060170940170940185,0.21333333333333335,0.27350427350427353,75,0.8649051002076475,0.3523696647691025,0.024821613577464936
GF_00616,Positive,0.6663359788359788,0.8541666666666666,0.18783068783068782,48,94.17646918938755,2.8861132176519044e-22,0.02482133590725732
GF_01382,Positive,0.04079303950934243,0.2982456140350877,0.25745257452574527,57,0.23959631582451563,0.6244978288566917,0.024793245013935827
